Id,Facing
32798,X
32799,F
32800,X
32801,X
32802,X
32803,X
32804,X
32805,X
32806,F
32807,X
32808,X
32809,F
32810,F
32811,F
32812,F
32813,F
32814,X
32815,F
32816,F
32817,F
32818,X
32819,F
32820,F
32821,F
32822,X
32823,X
32824,X
32825,F
32826,X
32827,X
32828,X
32829,X
32830,X
32831,X
32832,F
32833,X
32834,F
32835,X
32836,F
32837,X
32838,F
32839,L
32840,X
32841,F
32842,X
32843,F
32844,X
32845,F
32846,X
32847,F
32848,F
32849,F
32850,X
32851,F
32852,X
32853,F
32854,F
32855,F
32856,X
32857,F
32858,X
32859,F
32860,F
32861,F
32862,F
32863,X
32864,X
32865,X
32866,F
32867,X
32868,F
32869,X
32870,X
32871,X
32872,X
32873,X
32874,X
32875,F
32876,F
32877,F
32878,X
32879,F
32880,X
32881,F
32882,X
32883,F
32884,X
32885,X
32886,F
32887,F
32888,F
32889,F
32890,X
32891,X
32892,X
32893,X
32894,X
32895,F
32896,X
32897,X
32898,F
32899,F
32900,F
32901,F
32902,F
32903,F
32904,F
32905,X
32906,F
32907,F
32908,F
32909,X
32910,X
32911,X
32912,X
32913,F
32914,X
32915,F
32916,F
32917,X
32918,F
32919,X
32920,X
32921,X
32922,X
32923,F
32924,X
32925,F
32926,F
32927,X
32928,F
32929,F
32930,F
32931,F
32932,F
32933,F
32934,F
32935,X
32936,X
32937,X
32938,X
32939,X
32940,F
32941,F
32942,X
32943,X
32944,X
32945,R
32946,X
32947,F
32948,R
32949,X
32950,F
32951,F
32952,X
32953,L
32954,F
32955,F
32956,F
32957,X
32958,X
32959,X
32960,F
32961,X
32962,F
32963,R
32964,F
32965,X
32966,F
32967,F
32968,F
32969,X
32970,F
32971,F
32972,F
32973,X
32974,F
32975,X
32976,F
32977,R
32978,X
32979,X
32980,F
32981,F
32982,F
32983,X
32984,F
32985,R
32986,F
32987,X
32988,X
32989,F
32990,X
32991,F
32992,F
32993,X
32994,X
32995,X
32996,F
32997,X
32998,F
32999,X
33000,F
