Id,Camera,Angle,Width,Height,Facing
7384,L,255,61,124,X
7385,F,16,97,97,F
7386,L,241,94,133,X
7387,R,75,44,107,F
7388,R,68,140,165,F
7389,X,227,88,84,X
7390,R,50,145,132,F
7391,F,48,132,188,F
7392,L,288,40,63,F
7393,R,49,144,123,F
7394,F,28,131,125,F
7395,F,22,87,104,F
7396,X,217,86,82,X
7397,X,196,45,44,X
7398,L,254,70,110,X
7399,X,229,79,66,X
7400,L,242,129,120,X
7401,L,243,80,104,X
7402,R,66,161,171,F
7403,F,24,74,102,F
7404,X,198,37,57,X
7405,F,23,67,68,F
7406,F,19,135,147,F
7407,L,242,52,65,X
7408,L,248,61,102,X
7409,X,210,65,64,X
7410,F,24,129,135,F
7411,R,47,112,114,F
7412,X,230,97,93,X
7413,F,22,41,43,F
7414,F,27,135,133,F
7415,X,193,39,42,X
7416,L,274,40,44,F
7417,R,67,81,108,F
7418,F,25,111,109,F
7419,R,62,196,244,F
7420,L,303,121,131,F
7421,F,44,255,243,F
7422,F,16,57,82,F
7423,X,215,100,101,X
7424,X,224,86,80,X
7425,R,77,122,141,F
7426,X,218,77,81,X
7427,R,68,59,91,F
7428,R,54,247,256,F
7429,R,81,213,267,F
7430,L,255,49,110,X
7431,F,13,52,53,F
7432,R,70,65,96,F
7433,R,50,104,145,F
7434,L,227,65,59,X
7435,X,227,112,101,X
7436,F,23,119,112,F
7437,X,225,100,84,X
7438,R,75,105,147,F
7439,F,23,58,57,F
7440,R,89,36,40,R
7441,F,14,35,36,F
7442,L,246,96,148,X
7443,R,48,259,196,F
7444,L,254,95,110,X
7445,X,218,51,43,X
7446,R,70,48,74,F
7447,L,268,52,41,F
7448,F,17,43,40,F
7449,F,30,110,99,F
7450,F,18,117,114,F
7451,R,76,63,154,F
7452,X,222,78,69,X
7453,R,63,124,113,F
7454,X,203,66,63,X
7455,L,260,32,57,X
7456,R,45,163,155,F
7457,L,230,41,35,X
7458,X,199,31,33,X
7459,R,69,140,143,F
7460,R,61,60,82,F
7461,R,60,204,225,F
7462,X,156,43,45,X
7463,R,70,84,144,F
7464,F,26,114,122,F
7465,L,247,61,76,X
7466,R,50,115,89,F
7467,X,219,64,66,X
7468,F,18,74,69,F
7469,F,11,62,76,F
7470,F,17,80,77,F
7471,F,23,167,152,F
7472,L,252,46,115,X
7473,X,207,30,40,X
7474,L,253,75,116,X
7475,F,14,72,72,F
7476,L,283,50,53,F
7477,R,67,122,141,F
7478,L,244,44,39,X
7479,R,45,141,121,F
7480,X,205,54,58,X
7481,F,34,116,117,F
7482,R,116,41,54,X
7483,R,81,61,157,F
7484,X,224,84,88,X
7485,L,260,27,74,X
7486,X,212,53,42,X
7487,F,22,57,54,F
7488,R,54,110,115,F
7489,R,57,116,139,F
7490,L,253,62,97,X
7491,L,245,88,141,X
7492,F,334,146,157,F
7493,R,121,57,55,R
7494,R,74,87,131,F
7495,X,206,132,143,X
7496,R,75,146,260,F
7497,F,19,36,41,F
7498,L,300,49,43,F
7499,F,22,87,89,F
7500,L,242,47,75,X
7501,X,223,90,86,X
7502,L,225,108,96,X
7503,F,28,85,86,F
7504,L,249,62,74,X
7505,L,247,60,116,X
7506,L,233,59,53,X
7507,R,67,181,228,F
7508,F,18,94,97,F
7509,X,215,51,69,X
7510,F,30,122,122,F
7511,L,233,65,67,X
7512,R,77,86,86,F
7513,R,74,121,190,F
7514,F,16,67,69,F
7515,F,14,82,80,F
7516,R,68,115,188,F
7517,L,238,90,105,X
7518,R,72,101,112,F
7519,R,50,301,314,F
7520,L,297,98,143,F
7521,F,27,58,71,F
7522,F,23,91,95,F
7523,R,58,150,163,F
7524,R,53,133,123,F
7525,F,26,96,110,F
7526,X,197,46,56,X
7527,F,35,101,113,F
7528,X,199,55,57,X
7529,R,87,74,172,F
7530,L,245,84,103,X
7531,X,207,73,67,X
7532,X,206,51,58,X
7533,L,253,60,109,X
7534,R,59,126,156,F
7535,L,250,56,111,X
7536,R,65,171,220,F
7537,F,15,77,88,F
7538,R,105,38,42,X
7539,X,207,33,37,X
7540,F,26,161,136,F
7541,R,58,122,117,F
7542,F,31,51,47,F
7543,L,273,40,47,L
7544,X,206,58,58,X
7545,L,285,41,33,L
7546,F,26,68,80,F
7547,R,73,58,141,F
7548,L,260,38,117,X
7549,F,29,96,89,F
7550,F,46,167,263,F
7551,F,32,160,157,F
7552,L,307,40,34,F
7553,R,44,205,162,F
7554,L,248,43,90,X
7555,L,227,131,100,X
7556,L,247,99,130,X
7557,R,49,211,175,F
7558,X,205,56,59,X
7559,R,47,97,96,F
7560,R,75,60,116,F
7561,R,73,56,84,F
7562,R,46,267,201,F
7563,R,69,71,135,F
7564,R,65,124,157,F
7565,F,25,100,104,F
7566,F,29,89,93,F
7567,F,24,89,86,F
7568,L,237,36,34,X
7569,R,70,217,204,F
7570,L,245,87,102,X
7571,R,66,144,176,F
7572,F,19,68,66,F
7573,F,33,112,121,F
7574,X,220,71,63,X
7575,L,246,39,52,X
7576,X,204,38,47,X
7577,X,216,52,52,X
7578,R,65,68,72,F
7579,F,20,260,284,F
7580,R,53,142,142,F
7581,X,205,56,51,X
7582,X,209,53,59,X
7583,L,241,40,49,X
7584,L,292,86,126,F
7585,X,210,62,81,X
7586,R,45,107,80,F
7587,X,199,43,50,X
7588,F,45,97,120,F
7589,F,20,94,104,F
7590,R,82,82,128,F
7591,L,247,67,105,X
7592,F,15,102,120,F
7593,R,49,106,118,F
7594,L,248,41,86,X
7595,L,251,60,110,X
7596,X,199,63,66,X
7597,F,18,109,111,F
7598,L,266,32,31,F
7599,X,222,46,36,L
7600,R,108,35,49,X
7601,F,19,39,40,F
7602,L,246,81,99,X
7603,R,60,168,180,F
7604,L,227,109,88,X
7605,F,21,37,36,F
7606,X,196,74,85,X
7607,L,247,54,75,X
7608,L,233,69,68,X
7609,L,259,44,100,X
7610,F,32,107,116,F
7611,F,23,137,136,F
7612,L,258,26,65,X
7613,X,223,53,54,X
7614,L,260,29,97,X
7615,R,79,143,206,F
7616,L,245,36,60,X
7617,X,225,86,87,X
7618,R,76,42,96,F
7619,R,62,115,132,F
7620,F,9,43,55,F
7621,R,86,33,41,R
7622,L,241,65,102,X
7623,X,204,46,49,X
7624,L,253,39,53,X
7625,F,34,212,196,F
7626,X,201,45,45,X
7627,F,25,162,176,F
7628,R,96,54,58,F
7629,R,71,116,123,F
7630,L,229,72,80,X
7631,R,125,95,179,X
7632,X,203,88,87,X
7633,L,231,81,72,X
7634,X,216,95,89,X
7635,X,215,52,45,X
7636,X,219,41,33,X
7637,R,73,64,113,F
7638,X,227,55,52,X
7639,F,46,139,114,F
7640,X,211,84,107,X
7641,F,333,96,94,F
7642,L,227,91,68,X
7643,F,46,463,421,F
7644,F,21,71,72,F
7645,F,51,159,164,F
7646,F,321,154,189,F
7647,X,228,114,98,X
7648,F,27,86,81,F
7649,L,260,32,65,X
7650,F,18,47,53,F
7651,R,79,38,85,F
7652,R,81,88,175,F
7653,F,11,81,89,F
7654,R,45,244,187,F
7655,L,247,58,92,X
7656,L,244,72,89,X
7657,F,10,61,59,F
7658,R,68,140,182,F
7659,X,221,50,59,X
7660,F,21,88,93,F
7661,X,195,31,36,X
7662,R,46,152,121,F
7663,R,74,69,116,F
7664,L,248,58,105,X
7665,R,65,96,128,F
7666,R,76,198,307,F
7667,X,219,108,102,X
7668,R,62,197,237,F
7669,F,25,122,110,F
7670,X,211,44,42,X
7671,F,12,74,78,F
7672,R,65,99,171,F
7673,F,25,126,125,F
7674,F,21,40,39,F
7675,R,65,78,116,F
7676,F,29,157,173,F
7677,R,46,135,115,F
7678,F,25,69,79,F
7679,R,61,100,123,F
7680,R,71,39,91,F
7681,R,67,62,75,F
7682,F,33,139,159,F
7683,L,252,86,143,X
7684,X,205,84,89,X
7685,F,22,87,88,F
7686,R,65,163,181,F
7687,L,254,93,139,X
7688,X,226,50,43,X
7689,L,304,104,133,F
7690,R,64,121,182,F
7691,R,63,115,137,F
7692,X,199,32,39,X
7693,F,17,59,70,F
7694,X,226,103,107,X
7695,F,19,73,86,F
7696,R,46,265,176,F
7697,R,77,94,190,F
7698,L,230,104,102,X
7699,L,249,147,125,X
7700,R,70,55,60,R
7701,F,24,122,127,F
7702,R,45,245,197,F
7703,R,73,53,109,F
7704,R,80,70,115,F
7705,R,52,183,194,F
7706,L,250,35,49,X
7707,L,229,85,70,X
7708,X,211,72,81,X
7709,X,219,57,60,X
7710,L,226,123,105,X
7711,L,249,60,96,X
7712,R,87,58,66,R
7713,X,211,40,45,X
7714,R,57,166,160,F
7715,X,211,73,85,X
7716,F,21,73,81,F
7717,X,208,106,117,X
7718,R,58,160,184,F
7719,F,12,80,84,F
7720,X,216,85,80,X
7721,R,75,103,189,F
7722,F,15,67,65,F
7723,L,226,114,103,X
7724,R,138,55,28,X
7725,X,203,61,63,X
7726,X,212,46,42,X
7727,F,313,105,167,F
7728,X,201,33,38,X
7729,F,40,255,242,F
7730,F,16,53,55,F
7731,F,12,38,39,F
7732,R,76,38,86,F
7733,F,19,93,114,F
7734,F,33,156,158,F
7735,R,74,93,175,F
7736,L,252,34,50,X
7737,F,28,146,150,F
7738,L,255,35,68,X
7739,L,234,120,110,X
7740,X,205,67,69,X
7741,X,209,78,70,X
7742,F,27,205,171,F
7743,R,76,56,136,F
7744,X,204,58,77,X
7745,L,236,70,68,X
7746,L,289,29,47,F
7747,R,74,52,86,F
7748,R,46,268,189,F
7749,F,42,123,123,F
7750,L,260,25,97,X
7751,L,240,101,93,X
7752,R,63,143,168,F
7753,L,242,41,50,X
7754,R,83,180,250,F
7755,L,252,36,42,X
7756,F,26,112,114,F
7757,F,36,168,163,F
7758,X,199,53,55,X
7759,X,195,35,36,X
7760,X,206,51,43,X
7761,L,244,34,36,X
7762,X,227,98,94,X
7763,R,65,128,190,F
7764,R,50,197,170,F
7765,R,74,128,222,F
7766,X,215,60,68,X
7767,X,201,58,63,X
7768,R,71,53,100,F
7769,F,34,84,101,F
7770,L,241,94,106,X
7771,L,255,65,68,L
7772,X,233,106,89,X
7773,L,243,74,89,X
7774,L,252,71,142,X
7775,X,203,54,59,X
7776,R,70,116,203,F
7777,F,31,122,113,F
7778,F,22,162,158,F
7779,R,55,263,298,F
7780,L,245,40,32,X
7781,X,200,45,51,X
7782,X,221,121,114,X
7783,L,248,38,54,X
7784,F,29,104,103,F
7785,L,251,51,82,X
7786,X,214,92,117,X
7787,R,103,39,38,R
7788,R,47,112,96,F
7789,F,334,135,115,F
7790,R,60,133,177,F
7791,X,229,61,64,X
7792,F,23,132,150,F
7793,R,64,73,101,F
7794,F,21,69,74,F
7795,R,63,160,229,F
7796,X,214,76,122,X
7797,L,243,104,133,X
7798,X,199,40,43,X
7799,X,211,53,65,X
7800,X,203,107,99,X
7801,X,228,69,45,X
7802,F,315,250,304,F
7803,F,334,61,57,F
7804,F,26,103,124,F
7805,F,19,133,124,F
7806,F,39,95,116,F
7807,F,30,140,123,F
7808,F,15,50,52,F
7809,R,64,127,164,F
7810,R,52,269,253,F
7811,L,244,37,49,X
7812,L,237,55,70,X
7813,F,17,65,62,F
7814,F,44,46,58,R
7815,R,69,106,120,F
7816,X,214,83,69,X
7817,F,36,142,146,F
7818,R,70,80,146,F
7819,X,217,65,66,X
7820,L,250,59,73,X
7821,F,334,32,37,L
7822,F,26,120,127,F
7823,F,35,131,122,F
7824,F,41,104,103,F
7825,R,70,54,93,F
7826,R,67,146,190,F
7827,X,226,140,131,X
7828,F,20,94,120,F
7829,X,209,48,48,X
7830,L,230,97,108,X
7831,R,81,70,123,F
7832,L,236,125,111,X
7833,L,258,49,72,X
7834,X,219,77,88,X
7835,R,67,158,196,F
7836,L,226,68,52,X
7837,L,253,70,73,X
7838,F,47,106,100,F
7839,R,46,186,154,F
7840,L,245,77,108,X
7841,L,252,78,95,X
7842,X,209,79,76,X
7843,L,239,86,90,X
7844,X,201,49,56,X
7845,F,41,346,331,F
7846,L,265,55,96,X
7847,R,80,71,206,F
7848,R,58,186,225,F
7849,X,207,34,33,X
7850,L,235,110,130,X
7851,L,274,47,54,L
7852,R,51,103,103,F
7853,R,55,176,170,F
7854,R,80,68,132,F
7855,R,92,33,35,R
7856,X,203,56,54,X
7857,R,62,35,30,R
7858,R,64,99,119,F
7859,F,30,209,167,F
7860,F,26,110,101,F
7861,R,54,160,159,F
7862,L,255,42,52,L
7863,F,19,52,64,F
7864,R,125,66,62,R
7865,X,203,42,40,X
7866,R,54,125,117,F
7867,R,57,109,120,F
7868,R,47,233,270,F
7869,L,256,59,101,X
7870,F,21,106,107,F
7871,L,275,41,68,F
7872,L,274,61,69,L
7873,F,34,121,121,F
7874,R,69,109,191,F
7875,R,70,226,300,F
7876,F,26,104,110,F
7877,R,78,81,194,F
7878,X,207,40,33,X
7879,R,50,207,184,F
7880,R,106,56,119,F
7881,X,226,44,26,X
7882,F,19,91,88,F
7883,X,207,112,104,X
7884,X,206,34,35,X
7885,R,138,41,34,R
7886,L,245,88,108,X
7887,F,26,90,97,F
7888,F,23,74,80,F
7889,X,224,59,62,X
7890,L,246,43,60,X
7891,F,21,105,110,F
7892,R,75,139,173,F
7893,R,67,65,101,F
7894,L,256,41,49,X
7895,X,218,87,70,X
7896,R,49,230,169,F
7897,F,42,90,95,F
7898,R,55,181,222,F
7899,X,205,70,68,X
7900,L,259,42,81,X
7901,X,219,73,56,X
7902,F,24,104,113,F
7903,R,66,119,158,F
7904,F,19,101,111,F
7905,R,78,42,83,F
7906,L,252,52,95,X
7907,R,75,165,247,F
7908,L,242,48,51,X
7909,R,72,35,31,R
7910,L,285,37,36,L
7911,F,17,46,54,F
7912,R,91,54,110,F
7913,R,66,86,113,F
7914,F,19,81,90,F
7915,R,43,174,129,F
7916,X,204,48,58,X
7917,F,16,42,52,F
7918,L,230,101,92,X
7919,X,208,79,94,X
7920,L,245,49,49,X
7921,L,243,61,104,X
7922,L,268,32,35,L
7923,L,255,66,107,X
7924,F,22,172,167,F
7925,L,290,33,34,L
7926,X,210,78,75,X
7927,F,32,79,105,F
7928,R,70,87,146,F
7929,X,207,68,67,X
7930,R,64,125,222,F
7931,L,256,40,88,X
7932,L,236,51,54,X
7933,X,212,87,91,X
7934,R,44,237,178,F
7935,L,255,51,86,X
7936,L,254,91,115,X
7937,R,73,62,89,F
7938,L,245,84,105,X
7939,F,22,104,118,F
7940,F,29,119,114,F
7941,R,65,113,153,F
7942,F,22,93,92,F
7943,F,30,133,134,F
7944,R,71,105,126,F
7945,X,201,56,56,X
7946,R,47,162,143,F
7947,L,238,61,77,X
7948,F,26,149,165,F
7949,F,44,243,204,F
7950,R,56,198,136,F
7951,L,238,122,115,X
7952,F,337,51,46,F
7953,F,27,48,60,F
7954,F,42,183,194,F
7955,X,204,77,79,X
7956,R,50,187,140,F
7957,F,19,123,120,F
7958,R,139,42,34,R
7959,X,204,53,57,X
7960,R,75,127,145,F
7961,L,250,42,70,X
7962,L,239,78,85,X
7963,F,22,83,91,F
7964,F,21,75,81,F
7965,F,22,81,95,F
7966,L,252,34,48,X
7967,F,27,100,107,F
7968,L,251,37,61,X
7969,X,206,41,43,X
7970,R,65,335,315,F
7971,F,24,130,136,F
7972,X,227,57,45,X
7973,F,22,159,148,F
7974,F,35,89,93,F
7975,R,45,270,191,F
7976,L,231,85,61,X
7977,X,227,152,96,X
7978,F,22,88,88,F
7979,F,16,58,60,F
7980,F,23,128,131,F
7981,L,236,107,116,X
7982,L,246,72,81,X
7983,F,33,109,118,F
7984,F,20,172,171,F
7985,F,16,85,89,F
7986,R,67,59,116,F
7987,L,235,131,160,X
7988,F,26,115,120,F
7989,X,210,116,108,X
7990,L,242,88,92,X
7991,R,51,160,162,F
7992,X,200,34,50,X
7993,R,68,136,153,F
7994,R,71,67,119,F
7995,R,75,85,145,F
7996,L,239,101,92,X
7997,L,245,59,96,X
7998,X,205,84,76,X
7999,F,23,92,102,F
8000,L,238,103,107,X
8001,L,247,81,115,X
8002,F,35,119,137,F
8003,X,204,79,91,X
8004,F,36,115,103,F
8005,L,253,53,86,X
8006,L,263,29,74,F
8007,F,19,146,144,F
8008,R,56,172,198,F
8009,X,225,108,85,X
8010,X,213,54,52,X
8011,R,128,44,30,R
8012,R,69,71,72,F
8013,F,19,126,127,F
8014,R,74,76,142,F
8015,F,22,95,91,F
8016,X,217,112,149,X
8017,F,15,72,74,F
8018,F,13,129,121,F
8019,L,222,156,143,X
8020,F,37,247,270,F
8021,L,233,111,109,X
8022,R,80,32,101,F
8023,X,226,149,132,X
8024,F,39,43,32,F
8025,X,205,61,61,X
8026,L,246,81,87,X
8027,R,71,129,171,F
8028,R,74,86,158,F
8029,X,226,40,44,X
8030,F,23,94,100,F
8031,F,32,178,182,F
8032,X,203,62,61,X
8033,R,62,136,190,F
8034,R,51,165,199,F
8035,R,62,107,126,F
8036,F,10,52,57,F
8037,X,213,114,105,X
8038,X,204,42,48,X
8039,F,22,86,91,F
8040,R,58,172,198,F
8041,R,47,248,219,F
8042,R,63,74,123,F
8043,X,202,78,71,X
8044,L,284,58,67,L
8045,X,218,114,121,X
8046,R,116,38,34,R
8047,X,207,51,62,X
8048,R,51,348,361,F
8049,X,220,118,133,X
8050,X,202,50,53,X
8051,R,56,156,153,F
8052,R,63,123,112,F
8053,F,21,63,63,F
8054,L,239,34,38,X
8055,X,199,58,61,X
8056,L,223,130,97,X
8057,L,257,53,101,X
8058,F,13,72,82,F
8059,R,52,212,192,F
8060,L,229,59,54,X
8061,L,258,39,81,X
8062,L,238,105,137,X
8063,X,211,56,64,X
8064,X,224,61,55,X
8065,F,36,119,111,F
8066,L,267,43,42,F
8067,R,99,86,242,X
8068,R,73,34,62,F
8069,X,227,62,63,X
8070,R,72,114,112,F
8071,R,74,162,387,F
8072,F,23,170,171,F
8073,R,95,41,45,F
8074,F,30,107,130,F
8075,F,15,68,67,F
8076,X,213,40,41,X
8077,X,229,56,71,X
8078,F,24,73,80,F
8079,R,64,107,204,F
8080,X,234,68,54,X
8081,L,248,85,104,X
8082,X,208,50,62,X
8083,F,11,35,38,F
8084,F,15,62,71,F
8085,F,21,99,103,F
8086,L,261,37,51,F
8087,L,274,40,61,X
8088,X,220,86,89,X
8089,R,82,39,40,R
8090,R,61,117,164,F
8091,F,15,41,43,F
8092,L,295,76,54,L
8093,F,21,50,49,F
8094,R,48,180,144,F
8095,R,60,76,91,F
8096,L,264,45,83,F
8097,R,65,67,97,F
8098,R,69,51,70,F
8099,L,262,37,37,L
8100,X,210,49,57,X
8101,R,94,50,58,R
8102,F,31,306,296,F
8103,F,24,131,141,F
8104,F,13,74,78,F
8105,L,303,122,110,F
8106,R,52,92,93,F
8107,R,59,139,161,F
8108,F,20,110,104,F
8109,R,77,57,148,F
8110,L,224,59,37,X
8111,L,249,57,137,X
8112,X,212,33,39,X
8113,F,14,109,129,F
8114,R,78,77,167,F
8115,X,222,66,61,X
8116,R,70,151,166,F
8117,R,61,95,135,F
8118,F,20,113,110,F
8119,L,229,45,39,X
8120,F,23,172,176,F
8121,X,209,37,35,X
8122,R,50,153,179,F
8123,L,249,76,109,X
8124,X,228,109,126,X
8125,R,70,127,135,F
8126,F,29,115,133,F
8127,R,43,126,90,F
8128,R,72,33,37,F
8129,X,196,45,46,X
8130,L,238,68,70,X
8131,R,62,95,101,F
8132,X,203,66,59,X
8133,X,210,84,74,X
8134,F,19,69,81,F
8135,F,23,70,74,F
8136,F,20,101,113,F
8137,F,18,126,118,F
8138,X,218,63,66,X
8139,L,235,48,35,X
8140,F,323,50,59,F
8141,L,254,54,101,X
8142,F,21,73,74,F
8143,L,252,73,90,L
8144,L,247,49,94,X
8145,F,28,53,62,F
8146,X,204,47,50,X
8147,F,12,65,71,F
8148,X,210,33,32,X
8149,F,35,263,236,F
8150,X,218,54,54,X
8151,L,247,35,53,X
8152,R,47,109,97,F
8153,L,261,44,101,F
8154,F,14,101,105,F
8155,R,60,273,259,F
8156,F,24,60,62,F
8157,R,94,46,58,F
8158,X,214,60,62,X
8159,F,15,49,57,F
8160,F,21,75,75,F
8161,F,8,46,46,F
8162,F,22,76,76,F
8163,R,92,95,106,R
8164,X,217,77,74,X
8165,R,56,256,247,F
8166,X,202,96,110,X
8167,R,65,163,193,F
8168,L,231,119,108,X
8169,X,212,116,121,X
8170,X,204,46,63,X
8171,F,14,49,52,F
8172,L,250,69,112,X
8173,F,320,126,79,F
8174,R,53,178,163,F
8175,R,63,87,97,F
8176,L,274,36,35,L
8177,L,256,25,52,X
8178,X,228,97,105,X
8179,F,23,89,90,F
8180,F,353,63,65,F
8181,X,215,71,67,X
8182,X,206,52,59,X
8183,L,243,72,84,X
8184,L,314,75,68,F
8185,X,217,118,107,X
8186,F,37,207,222,F
8187,R,56,169,199,F
8188,X,219,99,84,X
8189,F,34,137,134,F
8190,F,25,159,173,F
8191,X,224,57,46,X
8192,R,68,66,98,F
8193,L,247,64,85,X
8194,L,240,77,97,X
8195,F,25,133,133,F
8196,X,212,41,34,X
8197,R,77,51,101,F
8198,R,74,125,214,F
8199,L,245,74,94,X
8200,X,202,48,57,X
8201,L,253,38,68,X
8202,F,41,121,115,F
8203,R,71,152,208,F
8204,X,207,70,71,X
8205,F,33,209,197,F
8206,R,52,122,102,F
8207,F,24,100,116,F
8208,X,152,46,43,R
8209,X,201,32,37,X
8210,X,204,114,105,X
8211,F,42,141,127,F
8212,R,52,144,133,F
8213,L,250,61,96,X
8214,F,27,130,128,F
8215,F,25,117,117,F
8216,R,77,77,88,R
8217,R,70,88,106,F
8218,X,174,29,38,X
8219,L,248,65,104,X
8220,L,256,23,51,X
8221,F,25,80,80,F
8222,R,75,52,95,F
8223,F,313,54,34,L
8224,R,73,68,155,F
8225,R,86,160,166,X
8226,R,54,142,160,F
8227,X,218,66,66,X
8228,F,14,54,63,F
8229,R,49,359,284,F
8230,L,251,37,48,X
8231,X,207,60,56,X
8232,L,240,33,45,X
8233,X,216,42,41,X
8234,R,56,155,156,F
8235,R,69,129,127,F
8236,X,213,67,77,X
8237,L,253,43,84,X
8238,L,254,38,42,X
8239,F,32,104,106,F
8240,F,17,136,132,F
8241,L,283,41,44,L
8242,X,215,63,61,X
8243,F,19,53,69,F
8244,R,87,75,161,F
8245,F,36,111,118,F
8246,R,51,150,141,F
8247,R,48,149,119,F
8248,L,236,87,89,X
8249,F,5,93,101,F
8250,R,65,151,161,F
8251,R,70,100,153,F
8252,X,210,59,69,X
8253,L,265,68,75,L
8254,X,226,153,167,X
8255,X,192,33,34,X
8256,X,205,58,62,X
8257,R,76,71,143,F
8258,R,71,147,213,F
8259,X,221,91,82,X
8260,X,206,54,57,X
8261,F,15,49,48,F
8262,F,28,130,154,F
8263,L,244,46,59,X
8264,L,266,40,44,F
8265,F,26,97,109,F
8266,X,214,57,90,X
8267,F,29,105,116,F
8268,L,245,44,61,X
8269,X,223,56,56,X
8270,L,227,117,98,X
8271,F,32,145,164,F
8272,F,28,136,135,F
8273,R,56,157,134,F
8274,F,18,147,141,F
8275,F,38,147,140,F
8276,R,66,92,96,F
8277,L,282,52,105,F
8278,L,255,45,98,X
8279,F,19,50,55,F
8280,R,71,83,117,F
8281,F,20,89,81,F
8282,L,247,63,89,X
8283,X,203,30,41,X
8284,R,100,124,140,F
8285,R,67,67,106,X
8286,L,245,101,157,F
8287,L,288,56,115,F
8288,R,67,137,155,F
8289,R,73,64,110,F
8290,F,33,128,131,F
8291,F,36,97,97,F
8292,L,250,52,86,X
8293,F,37,62,67,F
8294,X,203,46,45,X
8295,L,222,113,92,X
8296,L,282,40,33,L
8297,R,75,112,216,F
8298,R,79,73,122,F
8299,L,246,85,131,X
8300,F,22,73,81,F
8301,X,214,48,68,X
8302,L,229,46,44,X
8303,L,244,69,117,X
8304,F,326,496,472,F
8305,R,61,88,99,F
8306,R,68,101,107,F
8307,L,248,49,67,X
8308,F,16,33,36,F
8309,F,19,107,93,F
8310,X,219,56,74,X
8311,X,226,97,99,X
8312,L,259,38,99,X
8313,R,84,48,85,F
8314,L,254,95,110,X
8315,F,31,95,98,F
8316,X,223,75,70,X
8317,X,210,43,52,X
8318,R,44,255,205,F
8319,F,19,43,47,F
8320,R,98,82,102,R
8321,R,50,192,164,F
8322,R,51,87,88,F
8323,R,55,99,120,F
8324,F,28,217,223,F
8325,L,249,41,40,L
8326,F,22,98,94,F
8327,X,211,78,91,X
8328,L,225,100,74,X
8329,R,54,115,85,F
8330,L,232,110,113,X
8331,R,53,112,106,F
8332,L,258,86,111,X
8333,L,287,38,82,F
8334,F,27,115,112,F
8335,R,68,128,207,F
8336,L,231,48,43,F
8337,L,262,38,43,L
8338,X,228,91,85,X
8339,L,253,28,65,X
8340,L,223,75,65,L
8341,R,53,315,277,F
8342,R,71,44,80,F
8343,R,52,154,150,F
8344,X,187,35,32,X
8345,X,207,48,55,X
8346,X,219,88,91,X
8347,R,62,101,162,F
8348,F,14,93,104,F
8349,F,37,246,196,F
8350,X,217,148,120,X
8351,F,48,120,123,F
8352,L,229,109,82,X
8353,R,65,76,102,F
8354,F,34,173,157,F
8355,F,326,82,87,F
8356,X,198,38,39,X
8357,L,227,109,82,X
8358,X,213,69,82,X
8359,F,23,77,91,F
8360,R,46,200,186,F
8361,L,244,119,132,X
8362,R,68,113,143,F
8363,F,37,155,156,F
8364,R,73,47,107,F
8365,R,67,79,117,F
8366,F,15,87,94,F
8367,L,232,93,78,X
8368,R,58,93,100,F
8369,L,268,41,48,F
8370,R,73,54,113,F
8371,L,263,51,119,F
8372,X,212,93,94,X
8373,R,136,83,59,R
8374,R,82,120,260,F
8375,X,220,90,77,X
8376,L,244,80,103,X
8377,X,219,116,118,X
8378,F,340,53,74,F
8379,L,249,65,86,X
8380,F,32,134,130,F
8381,F,23,82,73,F
8382,R,80,49,74,F
8383,X,217,54,49,X
8384,R,49,181,165,F
8385,F,28,113,115,F
8386,R,71,99,136,F
8387,X,224,117,130,X
8388,F,44,177,139,F
8389,R,44,248,247,F
8390,R,64,151,208,F
8391,R,66,88,90,F
8392,F,19,117,116,F
8393,R,73,73,152,F
8394,F,36,244,148,F
8395,F,30,149,142,F
8396,X,197,63,66,X
8397,F,13,45,50,F
8398,L,236,151,118,X
8399,R,53,165,174,F
8400,R,52,148,125,F
8401,F,66,226,206,F
8402,R,50,139,112,F
8403,F,21,62,57,F
8404,R,56,116,113,F
8405,L,252,47,78,X
8406,R,52,222,216,F
8407,R,64,108,168,F
8408,X,219,113,93,X
8409,F,26,127,123,F
8410,F,21,75,79,F
8411,R,50,149,154,F
8412,R,73,126,193,F
8413,L,244,53,61,L
8414,R,66,56,92,F
8415,R,60,92,116,F
8416,L,250,46,66,X
8417,X,196,54,65,X
8418,R,55,77,93,F
8419,X,207,78,81,X
8420,F,11,58,56,F
8421,F,315,44,31,F
8422,R,54,191,188,F
8423,R,95,34,38,F
8424,X,205,47,42,X
8425,F,17,75,73,F
8426,R,88,165,177,F
8427,L,258,23,52,X
8428,F,31,157,151,F
8429,L,257,39,78,X
8430,L,246,36,44,X
8431,F,14,69,80,F
8432,F,40,168,153,F
8433,X,215,45,43,X
8434,F,347,49,81,F
8435,F,40,152,149,F
8436,F,30,163,128,F
8437,R,67,110,129,F
8438,F,27,184,187,F
8439,L,264,35,78,F
8440,F,29,109,120,F
8441,X,208,101,108,X
8442,X,209,56,58,X
8443,F,28,114,109,F
8444,X,203,44,61,X
8445,X,219,68,53,X
8446,F,28,92,89,F
8447,X,222,101,109,X
8448,F,16,139,152,F
8449,X,207,74,82,X
8450,F,19,128,127,F
8451,F,17,67,69,F
8452,L,242,62,103,X
8453,L,249,57,90,X
8454,L,239,80,91,X
8455,L,285,64,59,L
8456,R,72,73,134,F
8457,X,218,97,88,X
8458,F,23,154,153,F
